label,right_shoulder,left_shoulder
haut,173.12179915319572,171.09051330404242
haut,173.12987606017427,169.84029841708
haut,169.26130731952227,166.80588277150133
milieu,159.44901536585297,157.85555140158644
milieu,149.8228558699488,144.796248922728
milieu,143.52700377180943,140.55912563656094
milieu,128.0102980570067,118.15471173936791
milieu,123.80067925169249,117.34463578129787
milieu,120.39077031524644,110.79431908774345
milieu,100.46887357323598,93.52527846109898
milieu,113.87846165651422,117.01220211732341
milieu,129.30891212520663,129.9559759341972
milieu,132.60932204218688,139.4659770550052
milieu,148.1029998299987,154.5427026208648
milieu,160.98627956412523,159.1875532542578
milieu,160.5917545906003,166.8616691824999
haut,168.79461958250045,169.64732096550085
haut,171.79657036949143,169.31171424292864
haut,172.56214202393843,172.18308294580635
haut,172.43843168743578,172.2407529123856
haut,173.5333789094221,171.7211402216727
haut,174.57897069068682,171.38422364580998
haut,174.4215771126765,172.8307890834001
haut,172.5497194420912,171.44491611068318
haut,169.64245857880803,167.74191335184005
milieu,162.90945225926794,162.82703892205072
milieu,159.5625913509832,160.38387109974158
milieu,147.36806896344268,152.28237503733524
milieu,142.51164397959616,144.95620319272194
milieu,131.507231450024,140.36127735264122
milieu,126.16839200486642,112.42850346413356
milieu,116.13320338443654,110.56195260401459
milieu,107.26300946830798,105.95369198786172
milieu,125.06833174816157,133.69239885587135
milieu,139.03999524420163,145.5472753444727
milieu,139.79412454297253,150.50826566948948
milieu,153.1721434311475,157.52700025720577
milieu,154.56481614724575,162.00179401067246
milieu,162.5131932815955,167.20963654947934
milieu,164.77910267414208,166.95750607707132
haut,169.9608689064618,169.85470860706053
haut,169.867866859038,169.3390304089426
haut,169.6530650873173,170.7529490284119
haut,171.57641186270246,171.10462551124374
haut,172.3022330933363,170.79840653618166
haut,171.80054714267237,172.69330095849207
haut,172.45751648250544,172.99746956553355
haut,171.89464744026168,171.52790248764632
haut,172.24555982881654,171.536856601474
haut,171.47231599193861,170.84999406337639
milieu,163.39360155240712,163.55793739943164
milieu,161.44831702633743,161.5498961427336
milieu,160.01319401587975,160.54422975818082
milieu,143.77113007020702,146.04292741376412
milieu,143.81059117068452,144.28507700850506
milieu,129.50600824512654,130.5606660887951
milieu,131.17207821449452,126.4979748999729
haut,173.02008139618908,179.26790955417243
haut,172.84289335056485,178.20616435362592
haut,172.9027959428623,178.7913672184655
haut,173.23819994072852,178.61667722996006
haut,173.9914074184548,178.84193287451288
haut,172.2140011208768,177.1045285604046
haut,170.14902496052048,169.19547451989408
bas,37.71617714112967,30.01966864009963
bas,26.33962283520109,22.858934121525042
bas,27.926806621299363,22.085687937496964
bas,25.532898786311033,18.33780551016657
bas,22.63091726292171,20.06260960909397
bas,32.49609267341075,30.98290305498509
milieu,127.8288611166977,95.06063011224143
milieu,139.58951483858854,148.59055403102795
milieu,123.35426247937093,116.60948787894736
haut,172.56930350719531,179.0646059641562
haut,172.31965030499418,179.5952463984319
haut,169.06887272156516,176.92473171100906
milieu,136.07023053510918,172.57078645126322
bas,34.467683294369166,27.518462425063355
bas,27.912331156968694,20.524546022558326
bas,24.47306293720373,18.798840972939864
bas,23.85171909365785,17.566957872853802
milieu,109.14710084718776,100.73294522975954
milieu,111.21418434504258,154.52847328973536
haut,169.82348019167233,176.93204850714426
haut,174.5017105082547,179.08197141921488
haut,173.94058647918922,178.84380628192181
haut,172.56444378184332,178.65817419890462
haut,169.02162951033284,175.49258064838185
milieu,129.81428004273397,139.2165837615351
milieu,107.82907624150249,110.76486796699751
bas,32.647425792665544,26.32583925121852
bas,26.689486410990416,23.906381259496698
bas,26.429390169993585,24.36655800211639
bas,24.09466800132443,20.870328660153593
bas,30.798970189922965,23.806510807623425
milieu,146.11882010375035,152.75923590761786
milieu,160.8175302643449,164.66932349320376
haut,170.4302720884579,175.23321608062565
haut,172.55839835970147,178.5735915366585
haut,172.94264236580224,178.32382029198587
haut,172.19077310132346,179.0542783299825
milieu,162.25001690288389,165.98969715396365
milieu,151.7430414814167,173.85248886541007
milieu,132.45269664325525,110.4902357174205
milieu,122.72685763114247,109.12778449277555
milieu,135.4108819126081,122.76943999314089
milieu,147.21602339110078,137.64918101971037
milieu,161.12337860129128,151.15738288275432
haut,174.5471644458278,172.63100776850433
haut,174.14569368446973,176.89291246119825
haut,174.66608942021276,175.49657178728722
haut,175.49164067273372,174.77171934532944
haut,175.75983040680336,172.8032351657652
haut,173.25528496115027,167.7439268540871
milieu,159.8957468586524,149.62697341476436
milieu,148.84711297880474,140.38601927455935
milieu,141.52524424536176,123.45399934803605
milieu,125.0280222379483,104.79434330978113
bas,70.6246834041417,75.08629248409115
bas,58.45976366298082,68.56545831611564
bas,51.59174779029468,65.60347344881839
bas,51.126059075714124,65.82311745894852
bas,54.043486482967886,66.31098807937356
bas,60.19315313897189,73.62643123832078
milieu,104.32614088934872,94.78462609993569
milieu,119.92360202441904,106.05921806047247
milieu,139.98247522777646,122.16773529330939
milieu,147.60303331689104,135.03007529623054
milieu,161.59939779235347,149.34329368322977
haut,175.69144203313456,172.43107321852955
haut,177.45350441795142,177.3571476819681
haut,176.47163044525993,174.89544762779252
haut,176.3825048431844,173.48052824667266
haut,174.76202551414164,171.05252388891665
milieu,159.7472534700588,150.05974522181072
milieu,148.78965205800333,139.55768559732894
milieu,138.10285985592367,123.46301802823068
milieu,122.8368838322955,108.94968642710398
bas,71.95449499362333,82.05338634910052
bas,63.59513627874052,75.57555946927067
bas,55.87361452428679,71.18909357857433
bas,51.84977461576623,67.03836232716671
bas,51.721320558727754,66.75834970664674
bas,53.41640355418364,70.43659119444285
bas,60.84210411196225,81.47141878132874
milieu,113.45602600058254,101.62710508688362
milieu,125.08389016021164,116.35764446289465
milieu,145.2964093319612,134.89635038984844
milieu,158.4278260177523,148.281113598314
haut,173.07370415461642,170.30037098979327
haut,176.52241977472238,175.06537513934498
haut,176.201128552611,176.1241219197899
haut,174.37258464972228,172.10052796072537
milieu,156.0597484784588,146.20947618766598
milieu,146.43248599593815,135.78214571361076
milieu,134.11001913519723,120.79398063700684
milieu,114.32886539039974,102.87095960956718
milieu,107.4407666690744,90.90703256848161
bas,68.07875497930337,73.19316108624851
bas,66.93573844356789,68.74757880962952
bas,61.979652735369356,65.23613271653319
bas,52.677734145676986,65.09786655682582
bas,51.77699297706971,66.72310310563377
bas,55.791149361990605,66.62331556834496
haut,179.0396364884601,175.5137242346161
haut,178.2393038707427,175.8006462370042
haut,178.59934404655493,175.0723018621961
haut,179.08371802899146,175.12064078402008
haut,179.2893759817649,175.17135596740675
haut,178.9839298735834,175.0126239975661
haut,179.13969328890533,174.97719605836747
haut,179.01560784908114,175.40688550140672
haut,179.0284776835689,175.37999781329495
haut,178.13388488915967,175.61081692004564
haut,178.20065150121093,175.4930614702588
haut,177.8118059454185,174.3637740836273
haut,173.50963228469024,173.34344275611517
milieu,161.48252804605167,171.70772256288691
milieu,154.96031259120258,169.59793981281757
milieu,147.00251782009713,165.30757739245783
milieu,137.17830439482492,162.81448515400896
milieu,124.1910462195926,165.2697077161433
milieu,115.11260011070138,168.99284356715947
milieu,106.27825049943354,148.46645459452907
bas,48.18782185425969,21.47341494268168
bas,45.834370578213786,19.583490342626924
bas,46.443545342187186,16.304838649036395
bas,46.991445779109796,18.52358145251557
bas,51.59982188784259,24.398863977146707
milieu,108.80969375078728,160.6425147643066
milieu,124.87570223600025,168.46085820034725
milieu,140.56303344388357,168.86559621723833
milieu,153.55449488442474,170.45316022557313
milieu,163.98582755092556,171.88813401673465
haut,174.10602166825444,173.72306979677393
haut,176.25138596556815,174.54288269986597
haut,176.12589131178692,174.44458568800158
haut,178.01059507667478,175.0371842478059
haut,178.59251534438783,176.01648652015993
haut,176.19241417919204,170.1442818025933
haut,176.84070833946691,169.6773815019029
haut,176.69089947574415,169.38786902149297
haut,177.02756609830777,170.03874190119052
haut,177.38103609080142,170.52392131647213
haut,177.10809153952337,170.0353274441962
haut,176.91463017351836,169.8465305399406
haut,177.0638808293316,170.1932501534334
haut,176.97134151560405,170.03089335524933
haut,172.92401508419556,169.36201077455175
milieu,165.64590451246943,163.62104045259534
milieu,157.33279981869953,157.90696713604464
milieu,147.82035935216194,151.43284754502346
milieu,137.04453803225002,141.81262025680766
milieu,122.1210348428619,127.58544844202797
milieu,115.5651364525846,118.24884524143762
milieu,107.57714993182483,111.18671904306413
bas,59.79693938252279,44.72121394819563
bas,57.35214612466303,43.67496667127449
bas,53.55797757188813,41.08982210176431
bas,54.00274393648519,43.51319955556238
bas,53.73551458107368,41.975482944069974
bas,58.032894767845015,45.609729918605794
bas,65.04057701200783,55.24393472365163
milieu,121.1616445612426,118.0245467549802
milieu,136.6285042222519,139.3039748930737
milieu,146.2758885150783,150.07635184890052
milieu,152.2506939349478,154.5620934316174
milieu,159.56569067849725,158.8853903446991
milieu,164.82985134404927,160.58393952509977
haut,170.7388869994575,165.5246872673005
haut,171.11648742391262,165.8389185798054
haut,173.38354482924612,167.38403916141976
haut,171.962942382367,166.91741154711937
haut,174.05315912640359,167.66383409418026
haut,174.24174105625826,167.30089131591367
haut,174.10074868694727,167.6875750986298
haut,173.55897770298645,167.96072907573097
haut,173.6141638633419,167.43443359982373
haut,173.96292684412722,167.6390640714665
haut,173.2193385800496,166.89975050396515
haut,172.98312892171097,167.30769111800694
haut,172.07378107174185,165.52685248245547
milieu,156.34376973110813,157.19710672591705
milieu,147.57268046567555,152.4618092897654
milieu,139.34580225506735,141.40422163514788
milieu,125.98808180490099,129.28394800638233
milieu,116.76902479107858,116.19679683620238
milieu,107.92354789292654,107.50806130112163
bas,66.13676244114555,48.54229795788012
bas,58.70434254506689,47.35350951678511
bas,55.48615293991019,43.906101441879976
bas,51.595149164960795,43.597378375866775
